name	formula	state	pwd_xyz	energy	Mass	Na
NH3	H3N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH3_1Ap.xyz	-56.480563	17.03022	4
C2H2	H2C2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H2_1Sigma.xyz	-77.192197	26.03708	4
H2CN	H2C1N1	2B2	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CN_2B2.xyz	-93.829745	28.033079999999998	4
H2CO	H2C1O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CO_1A1.xyz	-114.342934	30.02538	4
HOOH	H2O2	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HOOH_1A1.xyz	-151.374299	34.01368	4
l-C3H	H1C3	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/l-C3H_2Pi.xyz	-114.462685	37.03994	4
c-C3H	H1C3	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-C3H_2Ap.xyz	-114.465516	37.03994	4
HNCO	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNCO_1Ap.xyz	-168.445947	43.02424	4
HOCN	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HOCN_1Ap.xyz	-168.407590	43.02424	4
HCNO	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCNO_1Ap.xyz	-168.334893	43.02424	4
HONC	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HONC_1Ap.xyz	-168.313561	43.02424	4
